,CustomerID,ProdTaken,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome_median,DurationOfPitch_mean,Age_mean
27,200027,0,Self Enquiry,3,Small Business,Male,2,3.0,Deluxe,4.0,Divorced,1.0,0,3,0,1.0,Manager,21825.0,14.0,42.0
28,200028,0,Self Enquiry,1,Small Business,Female,2,4.0,Standard,3.0,Divorced,4.0,0,4,1,0.0,Senior Manager,25248.0,13.0,44.0
29,200029,0,Self Enquiry,3,Small Business,Female,2,3.0,King,5.0,Single,4.0,0,2,0,1.0,VP,33947.0,8.0,46.0
30,200030,0,Self Enquiry,1,Small Business,Male,3,3.0,Basic,3.0,Single,5.0,0,3,1,2.0,Executive,17496.0,8.0,33.0
31,200031,0,Self Enquiry,1,Salaried,Male,2,3.0,Deluxe,3.0,Divorced,3.0,1,3,1,1.0,Manager,21465.0,16.0,44.0
32,200032,0,Self Enquiry,1,Small Business,Male,2,4.0,Basic,3.0,Single,2.0,0,4,1,1.0,Executive,17206.0,15.0,30.0
33,200033,1,Self Enquiry,3,Large Business,Male,2,3.0,Deluxe,3.0,Divorced,4.0,0,2,0,1.0,Manager,17086.0,11.0,39.0
34,200034,1,Self Enquiry,1,Small Business,Male,3,3.0,Basic,3.0,Divorced,3.0,1,3,1,2.0,Executive,17293.0,6.0,24.0
35,200035,0,Self Enquiry,1,Small Business,Female,3,2.0,Basic,3.0,Married,2.0,0,2,0,1.0,Executive,17645.0,8.0,43.0
36,200036,1,Self Enquiry,3,Small Business,Male,2,4.0,Basic,3.0,Divorced,2.0,1,4,0,0.0,Executive,17683.0,9.0,50.0
37,200037,0,Self Enquiry,3,Small Business,Female,3,3.0,Basic,3.0,Divorced,2.0,0,2,1,0.0,Executive,17014.0,8.0,35.0
38,200038,0,Self Enquiry,1,Salaried,Female,2,4.0,Basic,0.0,Divorced,1.0,1,2,1,0.0,Executive,95000.0,11.0,36.0
39,200039,0,Company Invited,3,Salaried,Female,2,2.0,Deluxe,5.0,Divorced,3.0,0,3,1,0.0,Manager,20376.0,6.0,33.0
40,200040,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,3.0,Married,2.0,0,4,0,0.0,Executive,16951.0,10.0,35.0
41,200041,0,Self Enquiry,1,Salaried,Female,2,3.0,Basic,5.0,Married,2.0,0,3,0,1.0,Executive,17341.0,8.0,27.0
42,200042,1,Self Enquiry,1,Salaried,Male,2,5.0,Basic,3.0,Single,2.0,0,2,1,1.0,Executive,17293.0,31.0,26.0
43,200043,0,Company Invited,3,Salaried,Male,2,3.0,Standard,3.0,Unmarried,2.0,0,2,1,0.0,Senior Manager,23726.0,14.0,27.0
44,200044,0,Company Invited,1,Small Business,Female,2,3.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,22347.0,6.0,37.43459657701712
45,200045,1,Self Enquiry,1,Large Business,Female,2,3.0,King,3.0,Divorced,2.0,0,4,1,0.0,VP,34545.0,18.0,41.0
46,200046,0,Company Invited,3,Small Business,Male,3,3.0,Deluxe,3.0,Single,1.0,0,5,1,1.0,Manager,19568.0,15.935839274141284,34.0
47,200047,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,4.0,Divorced,5.0,0,4,1,1.0,Executive,18022.0,25.0,37.0
48,200048,0,Company Invited,3,Small Business,Male,3,3.0,Deluxe,3.0,Single,5.0,1,5,1,1.0,Manager,20772.0,11.0,46.0
49,200049,0,Self Enquiry,1,Salaried,Male,2,2.0,Basic,3.0,Divorced,2.0,0,5,1,1.0,Executive,17269.0,14.0,35.0
50,200050,1,Self Enquiry,1,Salaried,Male,3,4.0,Standard,3.0,Single,1.0,1,5,0,2.0,Senior Manager,20381.0,6.0,48.0
51,200051,1,Self Enquiry,1,Large Business,Male,2,3.0,Basic,3.0,Single,2.0,1,2,1,0.0,Executive,18441.0,11.0,33.08590047393365
52,200052,0,Self Enquiry,3,Small Business,Female,3,3.0,Deluxe,5.0,Married,6.0,1,2,0,0.0,Manager,20454.0,6.0,44.0
53,200053,0,Company Invited,1,Small Business,Male,3,4.0,Standard,5.0,Divorced,3.0,1,5,1,1.0,Senior Manager,24884.0,17.0,35.0
54,200054,0,Self Enquiry,3,Small Business,Female,2,4.0,Deluxe,3.0,Divorced,1.0,1,2,1,0.0,Manager,22347.0,29.0,37.43459657701712
55,200055,0,Company Invited,1,Salaried,Fe Male,3,3.0,Standard,3.0,Unmarried,2.0,1,2,1,0.0,Senior Manager,28458.0,6.0,33.0
56,200056,0,Company Invited,3,Salaried,Male,3,3.0,Standard,5.0,Divorced,2.0,0,4,1,0.0,Senior Manager,24069.0,24.0,35.0
57,200057,0,Self Enquiry,1,Small Business,Female,1,3.0,Basic,5.0,Divorced,4.0,1,4,1,0.0,Executive,22347.0,29.0,33.08590047393365
58,200058,0,Self Enquiry,1,Salaried,Male,2,3.0,Deluxe,3.0,Married,4.0,0,3,1,0.0,Manager,20915.0,13.0,31.0
59,200059,0,Self Enquiry,1,Salaried,Male,2,4.0,Deluxe,3.0,Married,2.0,0,5,1,1.0,Manager,20993.0,6.0,37.0
60,200060,0,Self Enquiry,1,Small Business,Male,2,3.0,Deluxe,3.0,Divorced,2.0,1,4,1,0.0,Manager,21162.0,6.0,32.0
61,200061,0,Company Invited,1,Salaried,Female,2,3.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,17406.0,35.0,38.0
62,200062,0,Self Enquiry,1,Small Business,Female,2,4.0,King,3.0,Married,6.0,1,4,1,1.0,VP,33740.0,13.0,50.0
63,200063,0,Self Enquiry,3,Salaried,Female,2,3.0,Standard,5.0,Unmarried,1.0,0,3,1,0.0,Senior Manager,22637.0,31.0,59.0
64,200064,0,Self Enquiry,1,Large Business,Female,2,3.0,Standard,3.0,Married,2.0,0,4,1,1.0,Senior Manager,25096.0,14.0,36.0
65,200065,0,Self Enquiry,1,Small Business,Female,2,3.0,Super Deluxe,3.0,Married,3.0,1,3,0,1.0,AVP,29756.0,14.0,55.0
66,200066,0,Company Invited,1,Salaried,Male,3,4.0,Deluxe,4.0,Unmarried,2.0,0,4,1,1.0,Manager,21499.0,17.0,36.0
67,200067,0,Self Enquiry,1,Salaried,Male,2,3.0,Standard,5.0,Married,3.0,0,3,1,1.0,Senior Manager,24724.0,13.0,45.0
68,200068,0,Company Invited,1,Small Business,Male,3,3.0,Basic,5.0,Divorced,5.0,0,2,0,1.0,Executive,17194.0,6.0,35.0
69,200069,1,Self Enquiry,1,Small Business,Male,3,4.0,Basic,3.0,Divorced,1.0,1,2,0,1.0,Executive,18388.0,15.0,33.08590047393365
70,200070,0,Company Invited,3,Salaried,Female,2,4.0,Deluxe,3.0,Single,1.0,0,5,1,1.0,Manager,20473.0,6.0,59.0
71,200071,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,4.0,Divorced,1.0,0,4,0,0.0,Executive,17703.0,8.0,29.0
72,200072,0,Self Enquiry,1,Small Business,Male,2,3.0,Basic,4.0,Single,2.0,0,3,0,0.0,Executive,17501.0,6.0,31.0
73,200073,0,Self Enquiry,1,Salaried,Male,3,3.0,Deluxe,4.0,Divorced,2.0,0,3,0,0.0,Manager,21220.0,6.0,32.0
74,200074,0,Self Enquiry,1,Salaried,Female,2,2.0,Deluxe,3.0,Divorced,4.0,0,2,0,0.0,Manager,18038.0,12.0,36.0
75,200075,0,Self Enquiry,1,Salaried,Female,3,3.0,Deluxe,3.0,Single,2.0,0,5,0,1.0,Manager,22347.0,15.935839274141284,31.0
76,200076,0,Self Enquiry,3,Small Business,Male,2,4.0,Deluxe,5.0,Single,1.0,0,2,0,1.0,Manager,22347.0,15.935839274141284,35.0
77,200077,0,Self Enquiry,1,Salaried,Male,2,3.0,Standard,5.0,Divorced,5.0,1,3,0,0.0,Senior Manager,28245.0,12.0,45.0
78,200078,0,Self Enquiry,1,Small Business,Male,1,3.0,Standard,3.0,Single,5.0,0,2,0,0.0,Senior Manager,28664.0,13.0,37.0
79,200079,0,Self Enquiry,2,Small Business,Male,3,0.0,Deluxe,4.0,Married,1.0,1,5,0,1.0,Manager,20021.0,11.0,46.0
80,200080,0,Self Enquiry,1,Salaried,Male,2,4.0,Deluxe,3.0,Divorced,2.0,1,2,1,1.0,Manager,20126.0,6.0,30.0
81,200081,0,Self Enquiry,1,Small Business,Male,1,4.0,Basic,3.0,Single,2.0,0,4,1,0.0,Executive,17859.0,6.0,35.0
82,200082,0,Self Enquiry,3,Salaried,Male,3,3.0,Standard,3.0,Divorced,4.0,0,2,0,1.0,Senior Manager,25239.0,6.0,55.0
83,200083,0,Company Invited,1,Small Business,Female,3,5.0,Deluxe,3.0,Married,1.0,1,2,0,2.0,Manager,20329.0,12.0,38.0
84,200084,0,Self Enquiry,1,Small Business,Male,3,3.0,Deluxe,4.0,Divorced,2.0,0,5,0,0.0,Manager,22347.0,15.935839274141284,34.0
85,200085,0,Self Enquiry,1,Salaried,Male,2,5.0,Standard,3.0,Unmarried,5.0,0,2,0,0.0,Senior Manager,22260.0,13.0,56.0
86,200086,0,Self Enquiry,3,Large Business,Male,3,3.0,Basic,5.0,Married,4.0,0,3,1,1.0,Executive,17322.0,8.0,23.0
87,200087,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,3.0,Divorced,4.0,0,3,1,0.0,Executive,17075.0,15.0,51.0
88,200088,0,Self Enquiry,1,Salaried,Male,2,4.0,Deluxe,3.0,Divorced,2.0,0,4,1,0.0,Manager,22347.0,8.0,37.43459657701712
89,200089,1,Self Enquiry,3,Small Business,Male,3,4.0,Standard,3.0,Unmarried,2.0,0,5,0,1.0,Senior Manager,24619.0,15.0,46.0
90,200090,0,Company Invited,1,Salaried,Male,3,4.0,Super Deluxe,4.0,Divorced,2.0,0,2,1,2.0,AVP,28503.0,6.0,40.0
91,200091,0,Self Enquiry,3,Small Business,Male,3,3.0,Deluxe,3.0,Single,1.0,1,5,1,1.0,Manager,20441.0,27.0,51.0
92,200092,0,Self Enquiry,3,Small Business,Female,3,4.0,Deluxe,4.0,Married,2.0,1,3,1,1.0,Manager,20209.0,10.0,30.0
93,200093,0,Company Invited,1,Small Business,Male,2,4.0,Standard,5.0,Divorced,3.0,1,2,1,1.0,Senior Manager,25673.0,6.0,46.0
94,200094,0,Self Enquiry,3,Small Business,Male,2,0.0,Deluxe,3.0,Single,2.0,0,5,1,0.0,Manager,20010.0,12.0,32.0
95,200095,0,Self Enquiry,1,Large Business,Female,2,3.0,Standard,3.0,Divorced,1.0,0,4,1,0.0,Senior Manager,28549.0,8.0,54.0
96,200096,0,Self Enquiry,3,Salaried,Female,2,0.0,Deluxe,3.0,Divorced,1.0,0,4,1,0.0,Manager,19999.0,9.0,24.0
97,200097,0,Company Invited,3,Small Business,Male,2,3.0,Deluxe,3.0,Divorced,2.0,0,2,1,0.0,Manager,22347.0,10.0,37.43459657701712
98,200098,0,Self Enquiry,3,Small Business,Male,2,3.0,Super Deluxe,3.0,Single,1.0,0,3,1,1.0,AVP,28872.0,16.0,58.0
99,200099,0,Company Invited,1,Small Business,Male,3,3.0,Deluxe,4.0,Divorced,5.0,0,3,1,0.0,Manager,17042.0,29.0,44.0
100,200100,1,Self Enquiry,2,Salaried,Male,3,3.0,Basic,5.0,Married,5.0,1,2,1,0.0,Executive,17073.0,12.0,37.0
101,200101,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,5.0,Single,2.0,0,2,0,2.0,Executive,17956.0,6.0,32.0
102,200102,1,Company Invited,1,Salaried,Female,3,4.0,Basic,3.0,Single,2.0,1,2,1,1.0,Executive,17926.0,12.0,20.0
103,200103,0,Self Enquiry,1,Salaried,Female,2,3.0,Deluxe,3.0,Single,2.0,0,3,1,0.0,Manager,19809.0,15.935839274141284,34.0
104,200104,0,Company Invited,1,Salaried,Male,3,4.0,Deluxe,3.0,Married,6.0,0,2,0,1.0,Manager,20163.0,8.0,37.0
105,200105,0,Company Invited,2,Salaried,Female,2,4.0,King,3.0,Divorced,1.0,0,2,1,1.0,VP,33844.0,8.0,59.0
106,200106,0,Company Invited,1,Salaried,Female,3,3.0,King,4.0,Divorced,4.0,1,2,0,2.0,VP,33172.0,6.0,50.0
107,200107,1,Self Enquiry,3,Small Business,Male,2,4.0,Deluxe,3.0,Single,2.0,1,3,1,0.0,Manager,20744.0,11.0,25.0
108,200108,0,Self Enquiry,1,Small Business,Male,3,4.0,Basic,3.0,Divorced,2.0,0,2,1,2.0,Executive,17889.0,13.0,25.0
109,200109,0,Self Enquiry,1,Small Business,Female,2,3.0,Basic,3.0,Single,2.0,0,2,1,1.0,Executive,17871.0,21.0,22.0
110,200110,0,Company Invited,1,Small Business,Female,1,4.0,Standard,5.0,Unmarried,4.0,0,2,1,0.0,Senior Manager,22484.0,6.0,51.0
111,200111,1,Company Invited,1,Salaried,Male,3,5.0,Deluxe,3.0,Single,2.0,1,5,1,1.0,Manager,21074.0,13.0,34.0
112,200112,0,Company Invited,2,Salaried,Female,1,2.0,Super Deluxe,3.0,Single,3.0,1,3,1,0.0,AVP,32328.0,32.0,54.0
113,200113,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Divorced,1.0,0,4,1,0.0,Executive,17774.0,24.0,24.0
114,200114,0,Self Enquiry,1,Salaried,Female,2,4.0,Deluxe,4.0,Married,7.0,0,3,0,1.0,Manager,19505.0,15.935839274141284,34.0
115,200115,0,Self Enquiry,3,Salaried,Male,2,3.0,Standard,3.0,Unmarried,3.0,0,3,0,0.0,Senior Manager,22428.0,9.0,37.0
116,200116,0,Self Enquiry,1,Small Business,Fe Male,2,4.0,Standard,5.0,Unmarried,3.0,0,2,0,0.0,Senior Manager,26631.0,11.0,34.0
117,200117,0,Company Invited,3,Large Business,Female,3,3.0,Standard,3.0,Divorced,1.0,0,5,0,0.0,Senior Manager,24738.0,17.0,36.0
118,200118,0,Self Enquiry,1,Salaried,Female,2,3.0,Basic,3.0,Married,6.0,0,2,1,0.0,Executive,17835.0,9.0,36.0
119,200119,0,Company Invited,3,Salaried,Male,3,3.0,Super Deluxe,3.0,Divorced,2.0,1,2,0,0.0,AVP,31959.0,32.0,43.0
120,200120,0,Company Invited,1,Salaried,Male,3,5.0,Basic,3.0,Married,2.0,0,3,1,2.0,Executive,17613.0,29.0,30.0
121,200121,0,Company Invited,3,Small Business,Male,3,3.0,Deluxe,4.0,Divorced,1.0,0,2,0,1.0,Manager,21146.0,28.0,33.0
122,200122,1,Self Enquiry,1,Salaried,Female,3,0.0,Basic,4.0,Divorced,1.0,1,5,1,1.0,Executive,19963.0,20.0,56.0
123,200123,0,Self Enquiry,1,Salaried,Male,2,3.0,King,3.0,Single,1.0,0,5,1,0.0,VP,34537.0,12.0,51.0
124,200124,1,Self Enquiry,3,Salaried,Male,3,5.0,Deluxe,3.0,Divorced,5.0,1,3,1,1.0,Manager,21172.0,12.0,31.0
125,200125,0,Self Enquiry,1,Salaried,Female,2,4.0,Basic,4.0,Divorced,2.0,0,3,1,0.0,Executive,17368.0,12.0,26.0
126,200126,1,Self Enquiry,1,Small Business,Female,3,3.0,Standard,3.0,Divorced,2.0,0,3,1,0.0,Senior Manager,25312.0,29.0,58.0
127,200127,1,Self Enquiry,3,Small Business,Male,2,3.0,Basic,3.0,Single,2.0,1,2,0,1.0,Executive,16675.0,28.0,19.0
128,200128,0,Self Enquiry,1,Large Business,Male,3,3.0,Basic,3.0,Divorced,1.0,0,5,1,2.0,Executive,17523.0,8.0,22.0
129,200129,0,Self Enquiry,1,Small Business,Female,3,3.0,Deluxe,5.0,Divorced,2.0,0,2,1,2.0,Manager,21567.0,26.0,49.0
130,200130,0,Company Invited,1,Small Business,Female,3,2.0,Basic,3.0,Single,5.0,0,3,0,2.0,Executive,19739.0,15.194834362717575,43.0
131,200131,0,Company Invited,3,Small Business,Fe Male,3,3.0,Standard,3.0,Unmarried,5.0,0,5,0,0.0,Senior Manager,24208.0,18.0,50.0
132,200132,1,Self Enquiry,3,Salaried,Female,3,5.0,Deluxe,3.0,Divorced,4.0,1,3,1,0.0,Manager,19559.0,15.935839274141284,31.0
133,200133,0,Self Enquiry,3,Salaried,Male,3,3.0,Standard,3.0,Married,4.0,1,2,0,1.0,Senior Manager,23189.0,15.0,41.0
134,200134,0,Self Enquiry,2,Salaried,Female,3,3.0,Basic,3.0,Divorced,2.0,0,4,1,0.0,Executive,17942.0,31.0,26.0
135,200135,0,Self Enquiry,1,Small Business,Male,2,0.0,Deluxe,4.0,Married,7.0,0,4,1,1.0,Manager,19941.0,12.0,36.0
136,200136,1,Company Invited,1,Salaried,Male,2,5.0,Standard,3.0,Unmarried,3.0,0,2,0,1.0,Senior Manager,25650.0,14.0,51.0
137,200137,0,Self Enquiry,3,Salaried,Female,2,4.0,Deluxe,3.0,Divorced,5.0,0,5,1,0.0,Manager,20902.0,10.0,39.0
138,200138,0,Self Enquiry,3,Salaried,Male,2,4.0,Deluxe,3.0,Divorced,3.0,0,4,0,0.0,Manager,23639.0,34.0,25.0
139,200139,0,Self Enquiry,2,Salaried,Male,2,3.0,Deluxe,3.0,Divorced,1.0,1,3,1,1.0,Manager,21347.0,15.0,30.0
140,200140,1,Self Enquiry,1,Small Business,Female,2,3.0,Basic,5.0,Single,1.0,0,4,1,1.0,Executive,22347.0,15.0,33.08590047393365
141,200141,0,Self Enquiry,1,Small Business,Male,2,3.0,Basic,3.0,Single,6.0,0,2,1,0.0,Executive,18452.0,35.0,33.08590047393365
142,200142,0,Self Enquiry,1,Large Business,Female,2,3.0,Deluxe,3.0,Single,4.0,1,5,0,0.0,Manager,1000.0,9.0,38.0
143,200143,0,Self Enquiry,1,Salaried,Female,3,3.0,Basic,3.0,Single,2.0,0,2,1,0.0,Executive,17632.0,24.0,30.0
144,200144,0,Company Invited,3,Small Business,Male,2,5.0,Deluxe,3.0,Married,1.0,0,2,0,1.0,Manager,19668.0,15.935839274141284,32.0
145,200145,0,Self Enquiry,1,Large Business,Female,2,3.0,Basic,5.0,Married,6.0,0,5,1,1.0,Executive,18204.0,11.0,30.0
146,200146,0,Self Enquiry,1,Small Business,Male,2,4.0,Basic,3.0,Single,1.0,0,4,0,0.0,Executive,17720.0,8.0,30.0
147,200147,0,Company Invited,1,Salaried,Male,3,4.0,Super Deluxe,5.0,Married,5.0,0,2,1,0.0,AVP,32181.0,16.0,41.0
148,200148,0,Self Enquiry,1,Salaried,Male,3,3.0,Basic,5.0,Divorced,3.0,0,2,0,2.0,Executive,17238.0,15.0,41.0
149,200149,0,Self Enquiry,1,Small Business,Female,3,3.0,Basic,4.0,Single,2.0,0,3,1,2.0,Executive,16483.0,9.0,19.0
150,200150,0,Company Invited,1,Small Business,Female,2,3.0,Deluxe,4.0,Married,2.0,0,2,1,0.0,Manager,20605.0,32.0,40.0
151,200151,0,Self Enquiry,3,Small Business,Male,3,3.0,Standard,4.0,Divorced,2.0,0,4,1,2.0,Senior Manager,22295.0,6.0,35.0
152,200152,0,Self Enquiry,3,Small Business,Male,2,3.0,Deluxe,3.0,Divorced,3.0,1,5,0,0.0,Manager,17306.0,12.0,53.0
153,200153,0,Self Enquiry,1,Salaried,Male,2,3.0,Deluxe,4.0,Married,1.0,0,4,1,0.0,Manager,17348.0,15.0,45.0
154,200154,0,Company Invited,3,Small Business,Fe Male,2,3.0,Standard,3.0,Unmarried,2.0,0,4,1,1.0,Senior Manager,23998.0,14.0,32.0
155,200155,0,Company Invited,1,Large Business,Male,2,3.0,Deluxe,3.0,Divorced,2.0,0,3,0,1.0,Manager,22347.0,15.935839274141284,29.0
156,200156,0,Self Enquiry,1,Small Business,Male,2,4.0,Deluxe,3.0,Divorced,3.0,0,3,1,1.0,Manager,21132.0,13.0,51.0
157,200157,0,Self Enquiry,1,Small Business,Female,3,4.0,Basic,4.0,Divorced,5.0,1,2,1,0.0,Executive,18346.0,15.0,58.0
158,200158,0,Self Enquiry,3,Small Business,Male,3,4.0,Standard,3.0,Divorced,1.0,0,2,1,0.0,Senior Manager,25855.0,10.0,40.0
159,200159,0,Company Invited,3,Small Business,Female,3,3.0,Basic,3.0,Divorced,7.0,0,5,1,2.0,Executive,17231.0,8.0,34.0
160,200160,0,Self Enquiry,1,Small Business,Male,3,3.0,Basic,3.0,Divorced,2.0,0,2,0,1.0,Executive,17323.0,25.0,22.0
161,200161,0,Company Invited,1,Small Business,Male,2,3.0,Basic,4.0,Married,7.0,0,3,0,0.0,Executive,17024.0,15.0,27.0
162,200162,0,Self Enquiry,1,Small Business,Male,2,3.0,Basic,3.0,Divorced,2.0,0,2,0,0.0,Executive,17713.0,27.0,28.0
163,200163,0,Self Enquiry,1,Salaried,Male,2,2.0,Standard,3.0,Married,4.0,1,4,1,1.0,Senior Manager,24439.0,30.0,57.0
164,200164,0,Company Invited,1,Small Business,Male,3,4.0,Basic,3.0,Married,2.0,1,2,0,2.0,Executive,17566.0,9.0,27.0
165,200165,0,Self Enquiry,1,Salaried,Female,2,3.0,King,4.0,Single,4.0,0,5,1,0.0,VP,34926.0,17.0,50.0
166,200166,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Married,5.0,0,4,1,1.0,Executive,17451.0,20.0,41.0
167,200167,0,Self Enquiry,3,Salaried,Female,2,3.0,Standard,3.0,Divorced,3.0,0,4,1,1.0,Senior Manager,24419.0,11.0,30.0
168,200168,0,Self Enquiry,3,Salaried,Fe Male,2,4.0,Deluxe,3.0,Unmarried,5.0,0,2,1,1.0,Manager,23686.0,6.0,38.0
169,200169,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Single,4.0,0,2,0,1.0,Executive,18038.0,12.0,32.0
170,200170,0,Self Enquiry,1,Large Business,Male,2,3.0,Basic,4.0,Divorced,1.0,1,4,1,0.0,Executive,18058.0,23.0,27.0
171,200171,1,Company Invited,3,Large Business,Female,3,5.0,Basic,5.0,Single,1.0,0,3,1,1.0,Executive,17325.0,6.0,19.0
172,200172,0,Company Invited,1,Small Business,Male,1,3.0,Basic,4.0,Single,5.0,0,4,1,0.0,Executive,17088.0,9.0,36.0
173,200173,0,Company Invited,1,Small Business,Male,3,3.0,Deluxe,5.0,Married,2.0,0,2,0,1.0,Manager,18072.0,15.0,30.0
174,200174,0,Self Enquiry,3,Salaried,Female,1,0.0,Deluxe,5.0,Married,5.0,1,4,0,0.0,Manager,20006.0,10.0,45.0
175,200175,0,Self Enquiry,1,Salaried,Female,3,3.0,Basic,5.0,Married,5.0,1,4,1,1.0,Executive,22347.0,15.194834362717575,56.0
176,200176,0,Self Enquiry,1,Salaried,Male,2,3.0,Basic,3.0,Single,1.0,0,3,0,1.0,Executive,17500.0,8.0,33.0
177,200177,1,Self Enquiry,1,Salaried,Male,2,4.0,Basic,3.0,Single,2.0,0,5,0,0.0,Executive,16102.0,8.0,19.0
178,200178,0,Self Enquiry,3,Small Business,Female,3,3.0,Standard,5.0,Married,2.0,0,2,1,1.0,Senior Manager,25453.0,6.0,46.0
179,200179,0,Self Enquiry,1,Salaried,Female,3,3.0,Basic,3.0,Single,2.0,0,2,1,1.0,Executive,17288.0,15.0,38.0
180,200180,0,Self Enquiry,1,Small Business,Female,3,3.0,Basic,3.0,Divorced,1.0,1,4,1,2.0,Executive,22347.0,18.0,33.08590047393365
